_ID,X,Y
1,1247,514
1,1247,513
1,1246,513
1,1246,514
1,1245,514
1,1244,514
1,1244,513
1,1243,513
1,1242,513
1,1241,513
1,1240,513
1,1239,513
1,1238,514
1,1237,514
1,1237,513
1,1236,513
1,1235,513
1,1234,513
1,1233,513
1,1232,513
1,1231,513
1,1230,513
1,1230,514
1,1229,514
1,1229,515
1,1228,515
1,1229,516
1,1228,516
1,1228,517
1,1227,517
1,1228,518
1,1227,518
1,1227,519
1,1227,520
1,1226,521
1,1227,521
1,1227,522
1,1228,522
1,1228,523
1,1227,523
1,1226,523
1,1225,523
1,1224,524
1,1223,524
1,1223,525
1,1222,525
1,1221,525
1,1221,524
1,1220,524
1,1220,523
1,1219,523
1,1218,523
1,1217,523
1,1217,524
1,1216,524
1,1216,525
1,1215,525
1,1214,525
1,1213,526
1,1212,526
1,1213,527
1,1214,527
1,1215,528
1,1216,528
1,1216,529
1,1217,530
1,1218,530
1,1218,531
1,1217,531
1,1216,532
1,1217,532
2,1215,533
2,1216,533
2,1217,532
2,1216,532
2,1217,531
2,1218,531
2,1218,530
2,1217,530
2,1216,529
2,1216,528
2,1215,528
2,1214,527
2,1213,527
2,1213,526
2,1212,526
2,1214,525
2,1215,525
2,1216,525
2,1216,524
2,1217,524
2,1217,523
2,1218,523
2,1219,523
2,1220,523
2,1220,524
2,1221,524
2,1221,525
2,1222,525
2,1223,525
2,1223,524
2,1224,524
2,1225,523
2,1226,523
2,1227,523
2,1228,523
2,1228,522
2,1227,522
2,1227,521
2,1226,521
2,1227,520
2,1227,519
2,1227,518
2,1228,518
2,1227,517
2,1228,517
2,1228,516
2,1229,516
2,1229,515
2,1228,515
2,1229,514
2,1230,514
2,1230,513
2,1231,513
2,1232,513
2,1233,513
2,1234,513
2,1235,513
2,1236,513
2,1237,513
2,1237,514
2,1238,514
2,1239,513
2,1240,513
2,1241,513
2,1242,513
2,1243,513
2,1244,513
2,1244,514
2,1245,514
2,1246,514
2,1246,513
2,1247,513
2,1247,514
2,1248,514
2,1249,514
2,1249,515
2,1250,515
2,1251,516
2,1251,517
2,1252,516
2,1253,516
2,1254,516
2,1255,515
2,1256,514
2,1257,513
2,1258,513
2,1258,512
2,1259,512
2,1259,511
2,1260,511
2,1260,510
2,1261,510
2,1261,509
2,1260,509
2,1259,509
2,1259,508
2,1258,508
2,1257,507
2,1258,507
2,1258,506
2,1258,505
2,1257,505
2,1256,505
2,1256,504
2,1255,504
2,1255,503
2,1254,503
2,1254,502
2,1255,502
2,1253,502
2,1254,501
2,1253,501
2,1253,500
2,1252,500
2,1252,499
2,1252,498
2,1252,497
2,1252,496
2,1251,497
2,1251,496
2,1252,495
2,1253,495
2,1253,494
2,1252,494
2,1253,493
2,1252,493
2,1252,492
2,1251,492
2,1251,491
2,1250,491
2,1250,492
2,1249,492
2,1248,492
2,1248,491
2,1248,490
2,1247,490
2,1247,489
2,1247,488
2,1246,488
2,1246,487
2,1246,486
2,1245,486
2,1245,485
2,1245,484
2,1245,483
2,1246,483
2,1246,482
2,1245,482
2,1245,481
2,1244,481
2,1244,482
2,1244,483
2,1243,483
2,1243,484
2,1243,485
2,1241,484
2,1239,483
2,1237,482
2,1236,480
2,1235,480
2,1233,480
2,1232,478
2,1229,477
2,1228,477
2,1228,476
2,1226,476
2,1226,475
2,1225,475
2,1225,474
2,1224,473
2,1225,473
2,1225,472
2,1226,472
2,1226,471
2,1227,471
2,1228,471
2,1228,470
2,1228,469
2,1229,470
2,1229,469
2,1229,468
2,1230,468
2,1230,467
2,1231,467
2,1232,467
2,1232,468
2,1232,469
2,1233,469
2,1233,468
2,1234,469
2,1234,470
2,1233,470
2,1235,470
2,1235,469
2,1235,468
2,1236,468
2,1236,469
2,1236,467
2,1234,467
2,1233,467
2,1233,466
2,1232,466
2,1231,466
2,1230,466
2,1230,465
2,1230,464
2,1231,463
2,1232,462
2,1231,462
2,1231,461
2,1230,461
2,1228,461
2,1228,459
2,1228,458
2,1227,457
2,1226,458
2,1225,458
2,1225,459
2,1224,459
2,1223,459
2,1223,458
2,1222,458
2,1222,459
2,1221,459
2,1220,460
2,1219,460
2,1218,460
2,1218,459
2,1218,458
2,1217,458
2,1216,458
2,1217,457
2,1218,457
2,1219,457
2,1220,457
2,1220,456
2,1220,455
2,1221,455
2,1222,454
2,1221,454
2,1221,453
2,1222,453
2,1222,452
2,1221,452
2,1221,451
2,1221,450
2,1221,449
2,1220,449
2,1221,448
2,1222,448
2,1221,447
2,1221,446
2,1222,446
2,1222,445
2,1223,445
2,1223,443
2,1223,442
2,1224,442
2,1225,442
2,1226,443
2,1227,443
2,1228,444
2,1229,444
2,1230,445
2,1231,445
2,1231,444
2,1232,444
2,1232,443
2,1233,442
2,1234,442
2,1234,441
2,1233,441
2,1233,440
2,1235,439
2,1235,438
2,1235,437
2,1235,436
2,1234,436
2,1234,435
2,1233,436
2,1233,435
2,1234,434
2,1235,435
2,1235,434
2,1236,434
2,1237,434
2,1237,433
2,1237,432
2,1236,431
2,1236,430
2,1235,430
2,1234,430
