ID,X,Y
1,1224,524
1,1225,524
1,1225,523
1,1226,523
1,1227,523
1,1228,523
1,1228,522
1,1227,522
1,1227,521
1,1226,521
1,1227,520
1,1227,519
1,1227,518
1,1228,518
1,1228,517
1,1228,516
1,1229,516
1,1229,515
1,1229,514
1,1230,514
1,1230,513
1,1231,513
1,1232,513
1,1233,513
1,1234,513
1,1235,513
1,1236,513
1,1237,513
1,1237,514
1,1238,514
1,1239,514
1,1239,513
1,1240,513
1,1241,513
1,1241,514
1,1242,513
1,1242,514
1,1243,513
1,1244,513
1,1244,514
1,1245,514
1,1246,514
1,1246,513
1,1247,513
1,1247,514
1,1248,514
1,1249,514
1,1250,514
1,1249,515
1,1250,515
1,1251,515
1,1251,516
1,1251,517
1,1252,516
1,1253,516
1,1254,516
1,1255,516
1,1255,515
1,1256,515
1,1256,514
1,1257,514
1,1257,513
1,1258,513
1,1258,512
1,1259,512
1,1259,511
1,1260,511
1,1261,511
1,1261,510
1,1260,510
1,1261,509
1,1260,509
1,1259,509
1,1259,508
1,1258,508
1,1258,507
1,1258,506
1,1258,505
1,1257,505
1,1256,505
1,1256,504
1,1255,504
1,1255,503
1,1254,503
1,1255,502
1,1254,502
1,1253,502
1,1254,501
1,1253,501
1,1253,500
1,1252,500
1,1252,499
1,1253,499
1,1252,498
1,1252,497
1,1252,496
1,1251,497
1,1251,496
1,1252,495
1,1253,495
1,1253,494
1,1253,493
1,1252,493
1,1252,492
1,1251,491
1,1251,492
1,1250,492
1,1249,492
1,1249,491
1,1248,491
1,1248,490
1,1248,489
1,1247,489
1,1247,488
1,1246,488
1,1246,487
1,1246,486
1,1245,486
1,1245,485
1,1246,485
1,1245,484
1,1246,484
1,1245,483
1,1246,483
1,1246,482
1,1245,482
1,1245,481
1,1244,481
1,1244,482
1,1244,483
1,1243,483
1,1243,484
1,1243,485
1,1242,485
1,1241,485
1,1241,484
1,1240,484
1,1239,483
1,1238,483
1,1238,482
1,1237,482
1,1236,481
1,1235,480
1,1234,480
1,1233,480
1,1233,479
1,1232,479
1,1232,478
1,1231,478
1,1230,478
1,1230,477
1,1229,477
1,1228,476
1,1227,476
1,1226,476
1,1226,475
1,1225,475
1,1225,474
1,1224,474
1,1224,473
1,1225,473
1,1225,472
1,1226,472
1,1226,471
1,1227,471
1,1228,471
1,1229,471
1,1229,470
1,1228,470
1,1228,469
1,1229,469
1,1229,468
1,1230,468
1,1230,467
1,1231,467
1,1232,467
1,1232,468
1,1232,469
1,1233,469
1,1234,469
1,1234,470
1,1233,470
1,1235,470
1,1235,469
1,1235,468
1,1236,468
1,1236,469
1,1237,468
1,1236,467
1,1235,467
1,1234,467
1,1233,467
1,1233,466
1,1232,466
1,1231,466
1,1230,466
1,1230,465
1,1230,464
1,1231,464
1,1231,463
1,1232,463
1,1233,463
1,1233,462
1,1234,463
1,1234,462
1,1235,462
1,1235,463
1,1236,462
1,1236,463
1,1237,463
1,1238,463
1,1239,463
1,1240,463
1,1240,462
1,1240,461
1,1240,460
1,1240,459
1,1241,459
1,1241,458
